authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Police,Side Collision,N,Major Damage,Multi-vehicle Collision,High School,handlers-cleaners,own-child,FEMALE,NO,500/1000,unknown,Low Risk,0,39,2,57000,-27300,10391.05,7.998675716,1,0.350419367,8,6040,196,3,8239,1475.73,2000,1,6040,1,0,60400,0,48320,0
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,other-service,own-child,MALE,unknown,250/500,NO,Low Risk,0,62,1,0,0,3991.05,7.998473574,1,0.217336006,20,0,460,3,4573,1187.96,1000,1,5240,1,0,47160,4000000,41920,0
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,machine-op-inspct,own-child,FEMALE,unknown,500/1000,unknown,Low Risk,0,41,1,46700,0,-4818.95,6.998520397,1,0.147304516,15,0,217,3,3362,875.15,2000,0,4730,1,0,37840,0,33110,2
Ambulance,Rear Collision,Y,Major Damage,Multi-vehicle Collision,High School,prof-specialty,other-relative,MALE,YES,100/300,NO,Medium Risk,1,55,0,72700,-68200,9751.05,7.998657943,1,0.674571174,20,17880,370,3,7534,972.18,2000,1,5960,1,0,71520,0,47680,0
Ambulance,Front Collision,Y,Total Loss,Single Vehicle Collision,MD,priv-house-serv,own-child,MALE,unknown,100/300,unknown,High Risk,1,55,2,0,-31000,35691.05,4.499724956,1,0.714398528,15,8180,413,1,8746,1268.79,2000,1,16360,1,0,98160,0,73620,2
Other,Rear Collision,N,Minor Damage,Single Vehicle Collision,College,craft-repair,husband,MALE,NO,100/300,NO,Low Risk,0,40,1,0,-53500,18711.05,3.999717534,1,0.262571678,6,7080,237,1,6962,883.31,1000,1,14160,1,0,77880,0,56640,3
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Masters,sales,own-child,MALE,YES,100/300,NO,High Risk,1,35,1,0,0,6071.05,3.999636397,1,0.729646463,16,16500,8,3,400,1266.92,2000,1,11000,1,0,71500,0,44000,3
Police,unknown,N,Minor Damage,Parked Car,High School,prof-specialty,own-child,MALE,YES,100/300,YES,Low Risk,0,43,1,0,-29200,-31368.95,7.990255786,1,0.067055412,4,1640,257,1,8896,1322.1,2000,0,820,1,0,9020,0,6560,3
unknown,unknown,Y,Minor Damage,Vehicle Theft,JD,exec-managerial,not-in-family,MALE,unknown,100/300,YES,Medium Risk,1,34,2,31000,-30200,-33768.95,7.984644914,1,0.627448381,5,1040,202,1,4556,848.07,500,1,520,1,0,5720,3000000,4160,1
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,JD,sales,not-in-family,FEMALE,YES,100/300,NO,Low Risk,0,40,1,0,-55600,8631.05,2.999806713,1,0.181235332,21,7760,224,1,9100,1291.7,2000,0,15520,1,0,69840,0,46560,0
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,PhD,machine-op-inspct,unmarried,FEMALE,NO,500/1000,NO,Low Risk,0,45,2,0,0,25521.05,4.499680874,1,0.161623975,5,14100,241,1,348,1104.5,2000,0,14100,1,0,91650,0,63450,2
Ambulance,Side Collision,N,Major Damage,Multi-vehicle Collision,Masters,prof-specialty,husband,MALE,unknown,250/500,NO,Medium Risk,0,25,0,53200,0,12471.05,3.999682565,1,0.541024238,22,12600,64,4,5448,954.16,1000,1,12600,1,0,75600,0,50400,0
Police,Side Collision,Y,Major Damage,Multi-vehicle Collision,JD,craft-repair,husband,MALE,unknown,100/300,NO,High Risk,1,37,2,27500,0,14291.05,6.999061788,1,0.727646260,10,7460,166,3,2445,1337.28,2000,1,7460,1,0,67140,8000000,52220,2
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,Associate,adm-clerical,other-relative,FEMALE,NO,500/1000,YES,Low Risk,0,35,2,81100,0,-14758.95,6.997885835,1,0.207391510,16,3310,155,3,4225,1088.34,1000,1,3310,1,0,29790,0,23170,3
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,High School,farming-fishing,wife,MALE,unknown,100/300,NO,Low Risk,0,30,1,51400,-64000,11141.05,3.499750374,1,0.395245499,1,14020,114,3,8315,1558.29,1000,1,14020,1,0,77110,0,49070,2
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,PhD,prof-specialty,own-child,MALE,YES,500/1000,YES,Low Risk,0,37,0,0,0,10671.05,8.998333642,1,0.219128917,17,10800,149,1,8796,1415.68,500,1,5400,1,0,64800,0,48600,1
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,High School,craft-repair,not-in-family,MALE,YES,100/300,YES,High Risk,1,33,2,53300,-49200,-758.950000000,6.998681981,1,0.744342848,15,10620,147,1,1630,1334.15,1000,1,5310,1,0,53100,6000000,37170,0
Police,Rear Collision,Y,Total Loss,Single Vehicle Collision,Masters,protective-serv,unmarried,FEMALE,YES,100/300,unknown,Medium Risk,1,28,1,0,0,10231.05,7.998671317,1,0.664973034,3,6020,62,1,4324,988.45,1000,1,6020,1,0,60200,0,48160,1
unknown,unknown,N,Minor Damage,Parked Car,JD,priv-house-serv,unmarried,FEMALE,YES,500/1000,NO,Low Risk,0,49,1,0,0,-34648.95,3.995127893,1,0.048965329,16,1230,289,1,8019,1222.48,2000,0,820,1,0,5330,0,3280,1
Police,Rear Collision,N,Major Damage,Multi-vehicle Collision,MD,craft-repair,unmarried,FEMALE,unknown,500/1000,unknown,Low Risk,0,54,2,65700,0,5681.05,6.998876585,1,0.377051137,4,12460,431,3,4440,1155.55,2000,1,6230,1,0,62300,0,43610,0
Ambulance,Front Collision,Y,Major Damage,Single Vehicle Collision,JD,tech-support,wife,MALE,NO,250/500,unknown,High Risk,1,37,0,48500,0,361.050000000,3.499680102,1,0.788605447,4,10940,199,1,6374,1262.08,500,1,10940,1,0,60170,0,38290,3
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,tech-support,not-in-family,MALE,unknown,100/300,NO,Low Risk,0,26,2,0,-55700,-9928.95,6.998250437,1,0.086436493,19,8000,79,1,7180,1451.62,500,0,4000,1,0,40000,0,28000,2
Police,Side Collision,Y,Major Damage,Single Vehicle Collision,Associate,transport-moving,unmarried,MALE,unknown,250/500,unknown,High Risk,1,34,1,0,-24100,26791.05,3.999752796,1,0.734017616,1,16180,116,1,854,1737.66,500,1,16180,1,0,97080,0,64720,1
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,prof-specialty,husband,FEMALE,NO,500/1000,YES,Low Risk,0,23,1,0,-67400,2251.05,6.998780700,1,0.314965815,17,5740,37,3,3183,1475.93,500,1,5740,1,0,51660,0,40180,0
Other,Rear Collision,N,Total Loss,Single Vehicle Collision,PhD,transport-moving,own-child,FEMALE,NO,250/500,NO,Low Risk,0,30,2,49700,-60200,1831.05,6.998767823,1,0.225313697,23,5680,106,1,4321,538.17,500,1,5680,1,0,51120,0,39760,2
Other,Front Collision,N,Minor Damage,Single Vehicle Collision,JD,priv-house-serv,unmarried,MALE,unknown,100/300,YES,Low Risk,0,44,0,36400,-28700,-4088.95,2.999734066,1,0.171304218,14,11280,269,1,2628,1081.08,2000,0,11280,1,0,56400,0,33840,2
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,MD,protective-serv,husband,FEMALE,unknown,250/500,NO,Low Risk,0,40,2,0,0,10301.05,48230,1,0.204300743,17,6890,265,3,3106,1454.43,1000,1,0,1,0,55120,0,48230,3
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,Associate,other-service,husband,FEMALE,unknown,100/300,YES,Low Risk,0,33,1,35300,0,25161.05,4.499679053,1,0.225766748,11,0,163,3,9172,1240.47,500,1,14020,1,0,77110,0,63090,1
Fire,Front Collision,Y,Major Damage,Multi-vehicle Collision,College,other-service,husband,MALE,NO,500/1000,NO,High Risk,1,47,2,0,0,12311.05,7.998726317,1,0.778560259,19,6280,355,3,9064,1273.7,2000,1,6280,1,0,62800,4000000,50240,1
Police,unknown,N,Trivial Damage,Vehicle Theft,PhD,protective-serv,other-relative,FEMALE,YES,500/1000,unknown,Low Risk,0,34,2,0,0,-32258.95,6.991368681,1,0.146105722,5,810,175,1,2607,1123.87,1000,0,810,1,0,7290,8000000,5670,0
Other,Rear Collision,N,Total Loss,Single Vehicle Collision,Masters,exec-managerial,wife,FEMALE,unknown,100/300,NO,Low Risk,0,35,0,0,-40300,15691.05,6.999086281,1,0.183752908,19,15320,192,1,6506,1245.89,1000,0,7660,1,0,76600,0,53620,0
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,MD,other-service,own-child,MALE,YES,250/500,unknown,Low Risk,0,59,0,0,0,19331.05,6.999144359,1,0.334285528,19,16360,430,3,4011,1326.62,2000,1,8180,1,0,81800,7000000,57260,3
unknown,unknown,N,Trivial Damage,Vehicle Theft,JD,farming-fishing,husband,FEMALE,unknown,100/300,unknown,Low Risk,0,27,1,0,0,-32648.95,7.987897126,1,0.074480813,4,1320,91,1,7455,1073.83,2000,0,660,1,0,7260,0,5280,2
unknown,unknown,N,Minor Damage,Vehicle Theft,College,armed-forces,not-in-family,MALE,YES,100/300,unknown,Low Risk,0,39,2,0,0,-34488.95,7.981438515,1,0.055123964,8,430,217,1,4648,1530.52,1000,0,430,1,0,4300,0,3440,1
Police,Side Collision,N,Major Damage,Multi-vehicle Collision,JD,priv-house-serv,husband,FEMALE,unknown,100/300,YES,Medium Risk,0,40,1,88400,-46500,6941.05,3.499727010,1,0.409970839,7,12820,223,3,7579,1201.41,500,1,12820,1,0,70510,0,44870,0
Police,unknown,N,Minor Damage,Parked Car,PhD,machine-op-inspct,not-in-family,MALE,YES,250/500,NO,Low Risk,0,39,0,47600,-39600,-36248.95,3.492723493,1,0.091870480,5,480,195,1,194,1393.57,1000,0,480,1,0,2640,0,1680,1
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,PhD,craft-repair,not-in-family,MALE,NO,100/300,YES,Low Risk,0,26,1,71500,0,17301.05,6.999112913,1,0.128457509,3,15780,22,1,2705,1276.57,1000,0,7890,1,0,78900,0,55230,2
Fire,Front Collision,N,Major Damage,Multi-vehicle Collision,PhD,prof-specialty,unmarried,FEMALE,unknown,250/500,unknown,Medium Risk,0,56,2,36100,-55000,12231.05,7.998724286,1,0.629523784,12,0,439,3,2291,1082.49,500,1,6270,1,0,56430,0,50160,3
unknown,unknown,N,Minor Damage,Parked Car,Masters,adm-clerical,own-child,FEMALE,NO,500/1000,NO,Low Risk,0,32,1,0,0,-36128.95,5.980066445,1,0.060636780,19,300,94,1,7067,1414.74,1000,0,300,1,0,2400,0,1800,3
Ambulance,Front Collision,N,Total Loss,Single Vehicle Collision,PhD,other-service,husband,MALE,NO,250/500,YES,Low Risk,0,39,0,56600,-45800,13241.05,6.999042539,1,0.209370239,22,7310,11,1,7903,1470.06,2000,1,7310,1,0,65790,0,51170,1
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,MD,adm-clerical,own-child,FEMALE,NO,250/500,NO,Low Risk,0,36,1,94800,-58500,7831.05,7.998601643,1,0.127736791,12,11440,151,3,3601,870.63,2000,0,5720,1,0,62920,0,45760,1
Police,Rear Collision,Y,Major Damage,Multi-vehicle Collision,PhD,machine-op-inspct,other-relative,MALE,unknown,100/300,YES,Medium Risk,1,34,2,36900,0,16111.05,54040,1,0.572970610,15,15440,154,3,9096,795.23,500,1,0,1,0,69480,0,54040,1
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,JD,handlers-cleaners,husband,MALE,NO,500/1000,NO,Low Risk,0,44,0,69100,0,-4718.95,8.997561636,1,0.110516635,23,7380,245,3,7804,1168.2,1000,0,3690,1,0,44280,0,33210,3
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,High School,armed-forces,unmarried,MALE,YES,500/1000,NO,Low Risk,0,32,0,0,-49500,1481.05,3.499689193,1,0.186315397,12,5630,119,1,216,993.51,1000,0,11260,1,0,56300,0,39410,3
Fire,Front Collision,Y,Major Damage,Multi-vehicle Collision,JD,transport-moving,own-child,MALE,YES,500/1000,YES,High Risk,1,42,2,0,-49000,13461.05,8.998424094,1,0.703254742,20,11420,215,3,2292,1848.81,500,1,5710,1,0,68520,0,51390,2
Fire,Rear Collision,Y,Total Loss,Multi-vehicle Collision,PhD,sales,not-in-family,MALE,NO,250/500,NO,Medium Risk,1,42,0,62400,0,8061.05,6.998934713,1,0.601675726,16,6570,295,3,2828,1641.73,2000,1,6570,1,0,59130,5000000,45990,0
Ambulance,Front Collision,Y,Minor Damage,Multi-vehicle Collision,MD,exec-managerial,other-relative,FEMALE,NO,100/300,YES,Medium Risk,1,39,2,35700,0,23811.05,8.998688238,1,0.641733161,6,13720,254,3,7741,1362.87,500,1,6860,1,0,82320,0,61740,2
Fire,Side Collision,Y,Minor Damage,Single Vehicle Collision,High School,tech-support,not-in-family,FEMALE,NO,250/500,YES,Medium Risk,1,31,0,43400,-91200,24171.05,4.499673937,1,0.640944538,12,13800,107,1,1262,1239.22,500,1,13800,1,0,89700,7000000,62100,1
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,adm-clerical,unmarried,FEMALE,NO,250/500,NO,Low Risk,0,64,1,59600,0,-7768.95,7.997878547,1,0.217945783,17,0,478,3,8932,835.02,500,1,3770,1,0,33930,0,30160,1
Ambulance,Front Collision,N,Major Damage,Single Vehicle Collision,MD,machine-op-inspct,own-child,MALE,NO,100/300,NO,Medium Risk,0,30,0,43300,-66200,11911.05,7.998716097,1,0.535424796,8,12460,128,1,7638,1061.33,1000,1,6230,1,0,68530,0,49840,3
unknown,unknown,N,Minor Damage,Parked Car,MD,other-service,own-child,MALE,unknown,500/1000,NO,Low Risk,0,49,0,0,-51500,-35348.95,2.996515679,1,0.050444155,13,860,338,1,7675,1279.08,1000,0,860,1,0,4300,0,2580,1
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,Associate,prof-specialty,own-child,FEMALE,unknown,100/300,unknown,High Risk,1,42,2,56200,-50000,11751.05,7.998711963,1,0.730133422,12,12420,271,2,1285,1105.49,500,1,6210,1,0,68310,0,49680,3
Other,Front Collision,Y,Total Loss,Single Vehicle Collision,MD,armed-forces,not-in-family,FEMALE,NO,100/300,NO,Medium Risk,1,41,0,37800,-50300,9741.05,6.998972251,1,0.596545193,7,6810,222,1,5933,1055.53,2000,1,6810,1,0,61290,0,47670,2
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,sales,husband,FEMALE,NO,250/500,NO,Low Risk,0,41,1,0,0,-10838.95,27090,1,0.098847921,10,3010,199,1,7009,895.83,1000,0,0,1,0,30100,0,27090,2
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,College,transport-moving,not-in-family,FEMALE,YES,100/300,NO,Low Risk,0,37,2,0,-42900,4911.05,8.998109641,1,0.218439776,7,9520,215,3,4440,1632.93,500,1,4760,1,0,57120,0,42840,0
Ambulance,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,sales,wife,FEMALE,YES,100/300,YES,Low Risk,0,40,1,0,0,-9308.95,5.998742402,1,0.100707452,18,9540,192,3,3972,1405.99,1000,0,4770,1,0,42930,0,28620,0
Ambulance,Front Collision,N,Total Loss,Multi-vehicle Collision,High School,transport-moving,other-relative,FEMALE,NO,100/300,NO,Low Risk,0,35,2,78300,0,-3788.95,5.998945704,1,0.191809889,22,11380,120,3,5095,1425.54,1000,0,5690,1,0,51210,0,34140,0
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,College,handlers-cleaners,husband,FEMALE,YES,500/1000,NO,Low Risk,0,45,1,0,-19700,29121.05,8.998792108,1,0.202484111,18,14900,270,3,1828,1038.09,1000,1,7450,1,0,89400,0,67050,1
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,College,transport-moving,not-in-family,MALE,unknown,250/500,NO,Low Risk,0,47,0,0,0,81.050000000,3.499677746,1,0.237920952,22,10860,319,3,8344,1307.11,500,1,10860,1,0,59730,0,38010,2
unknown,unknown,N,Minor Damage,Vehicle Theft,JD,other-service,wife,FEMALE,YES,500/1000,YES,Low Risk,0,39,2,0,-45000,-32348.95,4.496373892,1,0.060110977,15,1240,194,1,1709,1489.24,1000,0,1240,1,0,8060,6000000,5580,2
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,PhD,handlers-cleaners,unmarried,FEMALE,unknown,500/1000,unknown,Medium Risk,1,38,1,0,0,12611.05,6.999030605,1,0.661802650,16,14440,227,1,451,976.67,500,1,7220,1,0,72200,0,50540,2
Ambulance,Side Collision,N,Minor Damage,Multi-vehicle Collision,High School,exec-managerial,husband,MALE,NO,250/500,NO,Low Risk,0,31,1,52700,-40600,-7448.95,2.999704753,1,0.210747450,6,10160,137,3,7435,1340.43,2000,1,10160,1,0,50800,0,30480,2
unknown,unknown,N,Trivial Damage,Vehicle Theft,Masters,exec-managerial,wife,FEMALE,unknown,500/1000,unknown,Low Risk,0,40,2,0,0,-33308.95,3.497350492,1,0.088587377,10,660,244,1,6392,1267.81,2000,0,1320,1,0,6600,5000000,4620,1
Police,unknown,N,Minor Damage,Vehicle Theft,Masters,other-service,other-relative,MALE,NO,250/500,YES,Low Risk,0,29,2,0,0,-32678.95,3.497668221,1,0.119620701,3,750,78,1,1444,1234.2,1000,0,1500,1,0,7500,6000000,5250,2
unknown,unknown,N,Trivial Damage,Vehicle Theft,High School,exec-managerial,wife,MALE,YES,250/500,NO,Low Risk,0,35,0,57300,-80600,-33798.95,3.497036410,1,0.061576010,13,1180,200,1,7456,1318.06,2000,0,1180,1,0,6490,0,4130,3
Ambulance,Side Collision,Y,Major Damage,Multi-vehicle Collision,Masters,prof-specialty,not-in-family,MALE,NO,500/1000,unknown,High Risk,1,48,2,0,-44200,6391.05,3.999639022,1,0.718511376,16,5540,284,2,6458,769.95,2000,1,11080,1,0,60940,0,44320,3
Fire,Front Collision,N,Major Damage,Multi-vehicle Collision,High School,transport-moving,own-child,MALE,unknown,100/300,YES,Medium Risk,0,41,0,35700,0,2881.05,3.499699854,1,0.468760546,13,5830,275,3,6673,1514.72,2000,1,11660,1,0,58300,0,40810,1
Other,Front Collision,N,Minor Damage,Multi-vehicle Collision,Associate,priv-house-serv,husband,FEMALE,unknown,500/1000,NO,Low Risk,0,34,2,800,0,7671.05,3.999649154,1,0.165881234,9,11400,153,3,3254,873.64,1000,0,11400,1,0,68400,4000000,45600,1
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,MD,other-service,own-child,FEMALE,YES,500/1000,unknown,Low Risk,0,32,2,36400,0,2951.05,3.499700368,1,0.317328685,2,11680,134,1,8772,1612.43,500,1,11680,1,0,64240,0,40880,1
unknown,unknown,N,Trivial Damage,Parked Car,College,prof-specialty,not-in-family,FEMALE,YES,500/1000,NO,Low Risk,0,36,0,0,-78600,-34638.95,6.985138004,1,0.040574877,9,940,31,1,5647,1318.24,2000,0,470,1,0,4700,9000000,3290,1
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,College,exec-managerial,not-in-family,FEMALE,unknown,100/300,YES,High Risk,1,25,2,0,-56100,1551.05,6.998759085,1,0.787110507,12,0,41,3,8393,1226.83,1000,1,5640,1,0,45120,0,39480,0
Fire,Front Collision,N,Total Loss,Multi-vehicle Collision,High School,sales,own-child,FEMALE,unknown,250/500,YES,Medium Risk,0,29,1,0,0,8421.05,4.499563149,1,0.450256082,12,10300,127,2,5558,1326.44,2000,1,10300,1,0,66950,5000000,46350,1
Police,Side Collision,Y,Major Damage,Single Vehicle Collision,Associate,tech-support,own-child,FEMALE,unknown,250/500,NO,High Risk,1,23,0,0,-62400,33591.05,3.999776299,1,0.761433061,14,8940,61,1,7911,1136.83,2000,1,17880,1,0,98340,4000000,71520,3
unknown,unknown,N,Trivial Damage,Parked Car,PhD,farming-fishing,own-child,MALE,NO,250/500,NO,Low Risk,0,42,0,55200,0,-33208.95,7.986463621,1,0.046620906,9,590,207,1,5261,1322.78,2000,0,590,1,0,5900,0,4720,1
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,MD,exec-managerial,not-in-family,FEMALE,unknown,100/300,NO,Low Risk,0,43,1,90700,-20800,15081.05,4.499618029,1,0.363453215,3,5890,219,3,1503,1483.25,1000,1,11780,1,0,70680,0,53010,1
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,High School,machine-op-inspct,not-in-family,FEMALE,NO,100/300,NO,Low Risk,0,42,1,0,0,30231.05,7.999061143,1,0.117502604,21,17040,271,3,9074,1515.3,500,0,8520,1,0,93720,0,68160,0
unknown,unknown,N,Minor Damage,Vehicle Theft,PhD,armed-forces,husband,FEMALE,YES,100/300,NO,Low Risk,0,25,2,67700,-58400,-32888.95,7.987321712,1,0.066564536,5,1260,80,1,1087,1075.18,2000,0,630,1,0,6930,5000000,5040,0
Fire,Side Collision,Y,Major Damage,Single Vehicle Collision,Associate,protective-serv,not-in-family,FEMALE,NO,500/1000,YES,High Risk,1,47,0,61500,0,21741.05,8.998642739,1,0.727376803,11,6630,325,1,3265,1690.27,1000,1,6630,1,0,72930,0,59670,3
