months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported,policy_age_days,claim_deviation,claim_ratio,Actual,Fraud_Probability,Predicted,Risk_Level
64,25,250/500,1000,954.16,0,MALE,Masters,prof-specialty,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,unknown,75600,12600,12600,50400,N,5448,12471.050000000003,3.9996825648758034,0,0.5410242377460031,1,Medium Risk
166,37,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,unknown,67140,7460,7460,52220,Y,2445,14291.050000000003,6.99906178796408,1,0.7276462602386238,1,High Risk
155,35,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,3310,3310,23170,N,4225,-14758.949999999997,6.997885835095137,0,0.20739150989203084,1,Low Risk
114,30,100/300,1000,1558.29,0,MALE,High School,farming-fishing,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,unknown,77110,14020,14020,49070,N,8315,11141.050000000003,3.4997503744383427,0,0.39524549929099256,1,Low Risk
149,37,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,0,1,YES,64800,10800,5400,48600,N,8796,10671.050000000003,8.998333641918164,0,0.2191289173597295,1,Low Risk
147,33,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,10620,5310,37170,Y,1630,-758.9499999999971,6.9986819807945775,1,0.744342848232016,1,High Risk
62,28,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,unknown,1,1,YES,60200,6020,6020,48160,Y,4324,10231.050000000003,7.998671317056967,1,0.664973034414199,1,Medium Risk
289,49,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,unmarried,0,0,Parked Car,unknown,Minor Damage,unknown,16,1,NO,1,1,YES,5330,1230,820,3280,N,8019,-34648.95,3.995127892813642,0,0.04896532865953688,0,Low Risk
431,54,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,unknown,2,0,unknown,62300,12460,6230,43610,N,4440,5681.050000000003,6.998876584817847,0,0.37705113655099987,1,Low Risk
199,37,250/500,500,1262.08,0,MALE,JD,tech-support,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,unknown,0,3,NO,60170,10940,10940,38290,Y,6374,361.0500000000029,3.4996801023672424,1,0.7886054471624707,1,High Risk
79,26,100/300,500,1451.62,0,MALE,Associate,tech-support,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,unknown,40000,8000,4000,28000,N,7180,-9928.949999999997,6.998250437390652,0,0.08643649251839469,0,Low Risk
116,34,250/500,500,1737.66,0,MALE,Associate,transport-moving,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,unknown,1,1,unknown,97080,16180,16180,64720,Y,854,26791.050000000003,3.99975279648971,1,0.7340176156387632,1,High Risk
37,23,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,5740,5740,40180,N,3183,2251.050000000003,6.998780700226441,0,0.3149658145714011,1,Low Risk
106,30,250/500,500,538.17,0,FEMALE,PhD,transport-moving,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,2,2,NO,51120,5680,5680,39760,N,4321,1831.050000000003,6.99876782256645,0,0.22531369705821638,1,Low Risk
269,44,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,0,2,unknown,56400,11280,11280,33840,N,2628,-4088.949999999997,2.999734066128889,0,0.17130421848166372,0,Low Risk
265,40,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,unknown,55120,6890,0,48230,N,3106,10301.050000000003,48230.0,0,0.20430074257376665,1,Low Risk
163,33,100/300,500,1240.47,0,FEMALE,Associate,other-service,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,unknown,77110,0,14020,63090,N,9172,25161.050000000003,4.499679052849298,0,0.2257667481259715,1,Low Risk
355,47,500/1000,2000,1273.7,4000000,MALE,College,other-service,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,6280,6280,50240,Y,9064,12311.050000000003,7.998726317465372,1,0.7785602590808179,1,High Risk
175,34,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,0,0,Vehicle Theft,unknown,Trivial Damage,Police,5,1,unknown,2,0,YES,7290,810,810,5670,N,2607,-32258.949999999997,6.991368680641184,0,0.14610572228182428,0,Low Risk
192,35,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,unknown,76600,15320,7660,53620,N,6506,15691.050000000003,6.999086281164339,0,0.18375290827556578,0,Low Risk
430,59,250/500,2000,1326.62,7000000,MALE,MD,other-service,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,unknown,0,3,YES,81800,16360,8180,57260,N,4011,19331.050000000003,6.999144358880333,0,0.3342855276148225,1,Low Risk
91,27,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,0,0,Vehicle Theft,unknown,Trivial Damage,unknown,4,1,unknown,1,2,unknown,7260,1320,660,5280,N,7455,-32648.949999999997,7.987897125567322,0,0.07448081267311182,0,Low Risk
217,39,100/300,1000,1530.52,0,MALE,College,armed-forces,not-in-family,0,0,Vehicle Theft,unknown,Minor Damage,unknown,8,1,unknown,2,1,YES,4300,430,430,3440,N,4648,-34488.95,7.981438515081207,0,0.055123963975851564,0,Low Risk
223,40,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,unknown,70510,12820,12820,44870,N,7579,6941.050000000003,3.499727010373606,0,0.4099708394469243,1,Medium Risk
195,39,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,Parked Car,unknown,Minor Damage,Police,5,1,NO,0,1,YES,2640,480,480,1680,N,194,-36248.95,3.492723492723493,0,0.09187048023328133,0,Low Risk
22,26,100/300,1000,1276.57,0,MALE,PhD,craft-repair,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,1,2,NO,78900,15780,7890,55230,N,2705,17301.050000000003,6.999112913445698,0,0.12845750864793873,0,Low Risk
439,56,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,unknown,2,3,unknown,56430,0,6270,50160,N,2291,12231.050000000003,7.998724286397704,0,0.6295237839815057,1,Medium Risk
94,32,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,own-child,0,0,Parked Car,unknown,Minor Damage,unknown,19,1,NO,1,3,NO,2400,300,300,1800,N,7067,-36128.95,5.980066445182724,0,0.06063678043623837,0,Low Risk
11,39,250/500,2000,1470.06,0,MALE,PhD,other-service,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,7310,7310,51170,N,7903,13241.050000000003,6.9990425386404045,0,0.2093702390670381,1,Low Risk
151,36,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,11440,5720,45760,N,3601,7831.050000000003,7.998601643069393,0,0.12773679064649068,0,Low Risk
154,34,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,unknown,69480,15440,0,54040,Y,9096,16111.050000000003,54040.0,1,0.5729706098369176,1,Medium Risk
245,44,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,7380,3690,33210,N,7804,-4718.949999999997,8.997561636412897,0,0.11051663451783227,0,Low Risk
119,32,500/1000,1000,993.51,0,MALE,High School,armed-forces,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,5630,11260,39410,N,216,1481.050000000003,3.4996891927892726,0,0.1863153969554451,0,Low Risk
215,42,500/1000,500,1848.81,0,MALE,JD,transport-moving,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,11420,5710,51390,Y,2292,13461.050000000003,8.998424093853966,1,0.703254741667571,1,High Risk
295,42,250/500,2000,1641.73,5000000,MALE,PhD,sales,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,6570,6570,45990,Y,2828,8061.050000000003,6.998934713133465,1,0.6016757260374267,1,Medium Risk
254,39,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,82320,13720,6860,61740,Y,7741,23811.050000000003,8.998688237866201,1,0.6417331608054554,1,Medium Risk
107,31,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,13800,13800,62100,Y,1262,24171.050000000003,4.499673936671256,1,0.6409445378197639,1,Medium Risk
478,64,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0,3770,30160,N,8932,-7768.949999999997,7.997878546804561,0,0.2179457834284016,1,Low Risk
128,30,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,12460,6230,49840,N,7638,11911.050000000003,7.9987160969346816,0,0.5354247961677652,1,Medium Risk
338,49,500/1000,1000,1279.08,0,MALE,MD,other-service,own-child,0,-51500,Parked Car,unknown,Minor Damage,unknown,13,1,NO,0,1,unknown,4300,860,860,2580,N,7675,-35348.95,2.9965156794425085,0,0.05044415478429809,0,Low Risk
271,42,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,unknown,2,3,unknown,68310,12420,6210,49680,Y,1285,11751.050000000003,7.998711962646917,1,0.730133421559531,1,High Risk
222,41,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,0,2,NO,61290,6810,6810,47670,Y,5933,9741.050000000003,6.998972250770812,1,0.5965451927185512,1,Medium Risk
199,41,250/500,1000,895.83,0,FEMALE,Associate,sales,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,3010,0,27090,N,7009,-10838.949999999997,27090.0,0,0.09884792087060103,0,Low Risk
215,37,100/300,500,1632.93,0,FEMALE,College,transport-moving,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,9520,4760,42840,N,4440,4911.050000000003,8.998109640831759,0,0.2184397759868729,1,Low Risk
192,40,100/300,1000,1405.99,0,FEMALE,Associate,sales,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,9540,4770,28620,N,3972,-9308.949999999997,5.998742402012157,0,0.10070745199188832,0,Low Risk
120,35,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,51210,11380,5690,34140,N,5095,-3788.949999999997,5.998945703742752,0,0.19180988914714514,0,Low Risk
270,45,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,14900,7450,67050,N,1828,29121.050000000003,8.99879210844182,0,0.20248411080841908,1,Low Risk
319,47,250/500,500,1307.11,0,MALE,College,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,NO,0,2,unknown,59730,10860,10860,38010,N,8344,81.05000000000291,3.4996777460638984,0,0.2379209523792974,1,Low Risk
194,39,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,wife,0,-45000,Vehicle Theft,unknown,Minor Damage,unknown,15,1,YES,2,2,YES,8060,1240,1240,5580,N,1709,-32348.949999999997,4.496373892022563,0,0.06011097748695566,0,Low Risk
227,38,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,unknown,1,2,unknown,72200,14440,7220,50540,Y,451,12611.050000000003,6.999030605179338,1,0.6618026495866522,1,Medium Risk
137,31,250/500,2000,1340.43,0,MALE,High School,exec-managerial,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,10160,10160,30480,N,7435,-7448.949999999997,2.9997047534691466,0,0.21074744990563024,1,Low Risk
244,40,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,wife,0,0,Vehicle Theft,unknown,Trivial Damage,unknown,10,1,unknown,2,1,unknown,6600,660,1320,4620,N,6392,-33308.95,3.497350492051476,0,0.08858737675417466,0,Low Risk
78,29,250/500,1000,1234.2,6000000,MALE,Masters,other-service,other-relative,0,0,Vehicle Theft,unknown,Minor Damage,Police,3,1,YES,2,2,NO,7500,750,1500,5250,N,1444,-32678.949999999997,3.4976682211858763,0,0.11962070078527007,0,Low Risk
200,35,250/500,2000,1318.06,0,MALE,High School,exec-managerial,wife,57300,-80600,Vehicle Theft,unknown,Trivial Damage,unknown,13,1,NO,0,3,YES,6490,1180,1180,4130,N,7456,-33798.95,3.4970364098221847,0,0.06157600960137076,0,Low Risk
284,48,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,unknown,2,3,NO,60940,5540,11080,44320,Y,6458,6391.050000000003,3.9996390217489397,1,0.7185113763332382,1,High Risk
275,41,100/300,2000,1514.72,0,MALE,High School,transport-moving,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,unknown,58300,5830,11660,40810,N,6673,2881.050000000003,3.4996998542149043,0,0.4687605464559293,1,Medium Risk
153,34,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,NO,2,1,unknown,68400,11400,11400,45600,N,3254,7671.050000000003,3.999649153583019,0,0.1658812339764748,0,Low Risk
134,32,500/1000,500,1612.43,0,FEMALE,MD,other-service,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,unknown,2,1,YES,64240,11680,11680,40880,N,8772,2951.050000000003,3.499700368119168,0,0.3173286852843573,1,Low Risk
31,36,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,not-in-family,0,-78600,Parked Car,unknown,Trivial Damage,unknown,9,1,NO,0,1,YES,4700,940,470,3290,N,5647,-34638.95,6.985138004246284,0,0.040574876717629424,0,Low Risk
41,25,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,unknown,45120,0,5640,39480,Y,8393,1551.050000000003,6.99875908526857,1,0.7871105073699718,1,High Risk
127,29,250/500,2000,1326.44,5000000,FEMALE,High School,sales,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,YES,1,1,unknown,66950,10300,10300,46350,N,5558,8421.050000000003,4.499563149208814,0,0.4502560824020552,1,Medium Risk
61,23,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,unknown,98340,8940,17880,71520,Y,7911,33591.05,3.9997762988647168,1,0.7614330609412264,1,High Risk
207,42,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,own-child,55200,0,Parked Car,unknown,Trivial Damage,unknown,9,1,NO,0,1,NO,5900,590,590,4720,N,5261,-33208.95,7.986463620981388,0,0.04662090607372248,0,Low Risk
219,43,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,unknown,70680,5890,11780,53010,N,1503,15081.050000000003,4.499618029029794,0,0.3634532154329983,1,Low Risk
271,42,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,0,NO,93720,17040,8520,68160,N,9074,30231.050000000003,7.999061143058326,0,0.11750260398944372,0,Low Risk
80,25,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,husband,67700,-58400,Vehicle Theft,unknown,Minor Damage,unknown,5,1,NO,2,0,YES,6930,1260,630,5040,N,1087,-32888.95,7.9873217115689386,0,0.06656453564121208,0,Low Risk
325,47,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,YES,0,3,NO,72930,6630,6630,59670,Y,3265,21741.050000000003,8.998642738651787,1,0.7273768025752013,1,High Risk
29,25,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890,7210,7210,50470,Y,82,12541.050000000003,6.999029260851477,1,0.2863880056124618,1,Low Risk
295,48,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,wife,0,0,Parked Car,unknown,Trivial Damage,unknown,6,1,unknown,1,2,YES,5400,900,900,3600,N,2076,-34328.95,3.995560488346282,0,0.06070614346934667,0,Low Risk
