months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported,policy_age_days,claim_ratio,Fraud_Probability,Predicted,Actual,Risk_Level
347,51,500/1000,500,1480.79,9000000,FEMALE,MD,priv-house-serv,unmarried,0,-12100,Single Vehicle Collision,Side Collision,Total Loss,Other,15,1,YES,0,2,unknown,8630,17260,77670,N,6655,4.499739296680378,0.5471502799235063,1,0,Medium Risk
36,37,500/1000,1000,1115.81,0,FEMALE,Masters,machine-op-inspct,husband,0,-59800,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,20,3,YES,1,3,unknown,5420,10840,32520,N,463,2.9997232727608156,0.2326611411664337,1,0,Low Risk
303,46,100/300,1000,709.14,0,MALE,Masters,machine-op-inspct,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,NO,1,0,NO,9980,4990,39920,N,3681,7.998397114806652,0.2821007893608142,1,0,Low Risk
47,34,500/1000,500,1161.31,0,FEMALE,PhD,exec-managerial,other-relative,64800,-24300,Single Vehicle Collision,Front Collision,Minor Damage,Police,23,1,YES,1,3,unknown,11440,5720,45760,N,4025,7.998601643069393,0.2203725443535962,1,0,Low Risk
243,41,100/300,1000,1129.23,0,FEMALE,College,farming-fishing,own-child,17300,-60400,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,unknown,1,0,YES,10060,5030,35210,Y,6517,6.998608626515603,0.33143313997019874,1,1,Low Risk
16,32,100/300,1000,968.46,0,MALE,MD,tech-support,not-in-family,50800,-66200,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,0,3,unknown,0,2,unknown,6600,13200,39600,Y,4566,2.999772744489054,0.322252935656383,1,1,Low Risk
325,46,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,unknown,1,2,YES,13840,6920,55360,N,572,7.9988440976737465,0.2414746691447594,1,0,Low Risk
258,46,100/300,1000,1110.37,10000000,MALE,MD,machine-op-inspct,other-relative,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,unknown,4770,9540,33390,Y,5800,3.499633162142333,0.25498038448544075,1,1,Low Risk
97,26,250/500,1000,1252.08,0,MALE,College,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,2,2,NO,10080,5040,35280,Y,8497,6.998611386629637,0.5860649320936882,1,1,Medium Risk
467,58,500/1000,2000,977.4,0,MALE,Masters,transport-moving,own-child,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,1,YES,2,3,NO,5570,11140,38990,N,4368,3.4996858450767436,0.3324840576811567,1,0,Low Risk
156,31,100/300,2000,1134.08,0,MALE,PhD,other-service,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,unknown,2,0,unknown,5900,5900,47200,Y,6713,7.998644297576682,0.6156689910900985,1,1,Medium Risk
228,44,500/1000,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,Vehicle Theft,unknown,Minor Damage,unknown,20,1,NO,0,1,NO,1300,650,4550,N,256,6.989247311827957,0.11608394006764622,0,0,Low Risk
160,33,500/1000,1000,1422.78,0,FEMALE,High School,exec-managerial,husband,61600,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,unknown,2,3,YES,5280,5280,42240,N,2172,7.998485135391024,0.23930880943615587,1,0,Low Risk
33,32,100/300,500,1402.78,5000000,FEMALE,PhD,other-service,husband,70300,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,YES,0,1,unknown,6230,12460,37380,N,2523,2.999759248856432,0.21427637059240873,1,0,Low Risk
287,45,500/1000,1000,1230.69,0,MALE,Masters,transport-moving,not-in-family,0,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,1,NO,0,2,NO,5380,5380,43040,N,2746,7.998513287493031,0.39410137564287445,1,0,Low Risk
84,30,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,0,YES,5240,10480,41920,N,4246,3.999618357027001,0.22276258452205475,1,0,Low Risk
446,57,100/300,2000,1373.21,0,MALE,College,adm-clerical,unmarried,42700,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,3,NO,0,0,NO,6280,12560,43960,N,8102,3.49972135976435,0.2775647667789921,1,0,Low Risk
259,39,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,unknown,7760,7760,31040,N,7067,3.999484602499678,0.22296992714531635,1,0,Low Risk
107,31,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,YES,1,2,unknown,14420,21630,57680,N,7368,2.666543386805973,0.3748168911111523,1,0,Low Risk
185,35,500/1000,2000,1421.59,0,MALE,College,other-service,own-child,0,0,Vehicle Theft,unknown,Trivial Damage,Police,8,1,unknown,2,3,YES,900,450,3600,N,5446,7.982261640798226,0.1863320178220129,0,0,Low Risk
473,58,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,10520,10520,42080,Y,8137,3.9996198080030414,0.44324372600467443,1,1,Medium Risk
73,29,250/500,1000,1447.78,0,MALE,College,protective-serv,wife,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,unknown,4990,4990,34930,N,8016,6.998597475455821,0.30337257762319103,1,0,Low Risk
176,39,250/500,500,1365.46,4000000,MALE,College,armed-forces,unmarried,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,NO,2,1,NO,4920,4920,34440,N,1538,6.998577524893315,0.29707552702303597,1,0,Low Risk
175,34,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,unknown,2,1,YES,4080,4080,28560,Y,7210,6.998284734133791,0.36074927683124575,1,1,Low Risk
92,32,500/1000,500,1592.41,0,MALE,Masters,prof-specialty,husband,58900,-29100,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,unknown,2,3,YES,5340,5340,42720,N,6217,7.99850215315484,0.3024339360107202,1,0,Low Risk
282,43,250/500,500,1452.27,0,MALE,MD,farming-fishing,not-in-family,75800,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,19,1,NO,1,2,NO,4680,9360,32760,Y,3095,3.4996261083217606,0.4708296198361226,1,1,Medium Risk
144,35,100/300,500,1427.46,0,MALE,High School,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,unknown,0,0,unknown,17580,8790,61530,N,7823,6.999203731088613,0.4479432241867358,1,0,Medium Risk
232,42,100/300,500,944.03,0,MALE,College,handlers-cleaners,not-in-family,0,-58400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,11,1,YES,2,3,unknown,15400,7700,53900,Y,660,6.9990910271393325,0.27570708960894635,1,1,Low Risk
168,32,100/300,1000,1059.52,0,MALE,MD,protective-serv,own-child,0,-40600,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,unknown,1,1,unknown,14430,9620,33670,N,5414,3.4996362124519282,0.5828064692922926,1,0,Medium Risk
131,33,100/300,2000,1081.17,0,MALE,MD,sales,wife,0,-65200,Parked Car,unknown,Minor Damage,Police,3,1,unknown,0,1,NO,490,490,3920,N,8877,7.9837067209775965,0.13821921710891594,0,0,Low Risk
212,40,500/1000,1000,1524.45,0,FEMALE,Masters,other-service,husband,73200,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,0,2,YES,8240,8240,65920,N,4402,7.999029244023784,0.22205991962232174,1,0,Low Risk
124,28,250/500,1000,1235.14,0,MALE,MD,exec-managerial,husband,0,-32100,Multi-vehicle Collision,Side Collision,Total Loss,Other,20,3,unknown,0,1,unknown,6020,6020,48160,N,4819,7.998671317056967,0.4412778628547942,1,0,Medium Risk
137,30,250/500,500,1039.55,0,MALE,MD,exec-managerial,unmarried,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,3,unknown,2,1,unknown,6730,13460,53840,N,1158,3.9997028452566674,0.28075119534096704,1,0,Low Risk
464,61,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,unknown,0,2,YES,6650,19950,53200,Y,8864,2.666533005864368,0.4545490563265035,1,1,Medium Risk
156,38,100/300,500,1367.99,0,MALE,High School,armed-forces,own-child,26500,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,23,3,unknown,0,3,unknown,11040,5520,38640,Y,1980,6.99873211374751,0.5238012595064317,1,1,Medium Risk
156,37,250/500,500,1090.65,0,MALE,High School,exec-managerial,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,unknown,1,2,YES,5340,5340,42720,Y,8011,7.99850215315484,0.3635651091420249,1,1,Low Risk
97,28,100/300,1000,830.31,0,MALE,JD,farming-fishing,husband,0,-32600,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,unknown,1,0,unknown,10060,10060,25150,N,1797,2.499751515753901,0.3116892536458088,1,0,Low Risk
182,40,100/300,1000,1022.42,0,MALE,PhD,other-service,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,13,1,YES,0,2,unknown,7110,14220,49770,N,1163,3.499753885099501,0.32903797744204943,1,0,Low Risk
78,29,250/500,1000,1234.2,6000000,MALE,Masters,other-service,other-relative,0,0,Vehicle Theft,unknown,Minor Damage,Police,3,1,YES,2,2,NO,750,1500,5250,N,1444,3.4976682211858763,0.12571539340819854,0,0,Low Risk
85,30,100/300,1000,796.35,0,FEMALE,MD,craft-repair,own-child,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,3,YES,2,1,YES,5360,10720,42880,N,4821,3.9996269004757017,0.3970752833765199,1,0,Low Risk
479,60,100/300,2000,1304.83,0,FEMALE,College,other-service,husband,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,18,1,NO,0,0,NO,5050,10100,45450,N,6395,4.4995544995545,0.380538431054118,1,0,Low Risk
240,40,100/300,500,1533.71,9000000,FEMALE,JD,protective-serv,own-child,0,-70900,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,2,YES,0,2,unknown,6050,12100,48400,N,3773,3.999669448805884,0.4400617265547214,1,0,Medium Risk
229,37,500/1000,1000,1331.94,0,FEMALE,Masters,farming-fishing,not-in-family,0,-55400,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,0,2,YES,9920,9920,34720,N,7289,3.499647212982562,0.2932646499377299,1,0,Low Risk
245,40,500/1000,1000,1361.45,0,MALE,PhD,handlers-cleaners,unmarried,39300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,1,YES,0,2,YES,7470,7470,67230,N,1892,8.998795341989025,0.38032257117888707,1,0,Low Risk
5,26,250/500,2000,1137.02,0,FEMALE,PhD,farming-fishing,not-in-family,31500,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,YES,1,3,unknown,16020,16020,56070,N,182,3.499781536733038,0.2641758370001065,1,0,Low Risk
274,43,100/300,2000,1352.31,0,MALE,College,farming-fishing,wife,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,10640,10640,42560,Y,5017,3.999624095479748,0.614263141649208,1,1,Medium Risk
422,60,100/300,1000,1555.52,0,FEMALE,MD,machine-op-inspct,own-child,43600,-67800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,YES,1,1,NO,15500,7750,62000,N,1553,7.998967875112888,0.6379396447085215,1,0,Medium Risk
295,46,100/300,500,1672.88,0,FEMALE,High School,armed-forces,wife,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,YES,1,1,NO,12140,6070,42490,N,5883,6.998846977433701,0.3579973967890534,1,0,Low Risk
155,35,250/500,1000,919.37,0,FEMALE,Associate,protective-serv,not-in-family,83600,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,0,1,unknown,0,3,unknown,8060,8060,32240,N,7832,3.999503783649671,0.1676573544398896,0,0,Low Risk
153,34,250/500,500,991.39,0,MALE,High School,tech-support,other-relative,45600,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,0,3,unknown,1,0,NO,14140,14140,49490,N,7670,3.4997524927515733,0.2838659956922049,1,0,Low Risk
72,29,500/1000,500,973.8,0,FEMALE,Associate,craft-repair,own-child,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,unknown,1,0,NO,6620,6620,52960,N,7468,7.998791723304636,0.5435830048068132,1,0,Medium Risk
134,32,100/300,1000,1000.06,0,FEMALE,PhD,farming-fishing,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,unknown,1,0,unknown,7520,15040,60160,N,4962,3.999734060235357,0.44609685402806404,1,0,Medium Risk
366,50,500/1000,1000,1561.41,0,FEMALE,High School,handlers-cleaners,husband,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5,3,YES,1,3,NO,12780,12780,44730,N,8946,3.4997261560128314,0.17911745582381533,0,0,Low Risk
120,35,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,11380,5690,34140,N,5095,5.998945703742752,0.2890166548834858,1,0,Low Risk
281,43,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,9260,9260,41670,N,7877,4.499514091350826,0.26806307449142663,1,0,Low Risk
164,31,500/1000,500,1114.68,0,FEMALE,Associate,other-service,husband,44500,-55900,Vehicle Theft,unknown,Trivial Damage,Police,5,1,YES,1,0,NO,480,480,3360,N,1456,6.985446985446986,0.09472086507198786,0,0,Low Risk
237,43,250/500,500,911.53,0,FEMALE,PhD,sales,husband,53200,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,23,1,NO,0,1,NO,0,11840,47360,N,2130,3.9996621906933534,0.541524856601779,1,0,Medium Risk
103,33,100/300,1000,969.88,6000000,MALE,MD,armed-forces,own-child,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,21,1,NO,1,0,YES,12820,6410,57690,N,8034,8.99859616284511,0.17446174757432037,0,0,Low Risk
322,44,100/300,1000,1156.19,0,FEMALE,College,machine-op-inspct,husband,49900,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,YES,0,3,unknown,9880,4940,34580,N,3710,6.998583282736289,0.4096613719586368,1,0,Medium Risk
371,50,250/500,1000,1569.33,0,MALE,PhD,machine-op-inspct,not-in-family,79600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,2,3,NO,2,1,YES,13000,13000,58500,Y,7658,4.499653872779017,0.525764524969386,1,1,Medium Risk
230,43,100/300,2000,1221.14,0,MALE,MD,prof-specialty,wife,48100,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,13,1,unknown,0,2,unknown,13720,13720,48020,N,4574,3.499744916551272,0.3841226034715888,1,0,Low Risk
119,28,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,unknown,0,1,YES,6700,6700,40200,Y,826,5.999104611252052,0.2875775023525507,1,1,Low Risk
338,47,250/500,2000,1486.04,0,FEMALE,Associate,armed-forces,own-child,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,NO,2,3,unknown,12820,6410,44870,Y,2546,6.998908126657308,0.5900420515814353,1,1,Medium Risk
405,58,250/500,500,1237.88,0,MALE,MD,exec-managerial,not-in-family,0,-46900,Single Vehicle Collision,Front Collision,Major Damage,Police,11,1,unknown,0,0,unknown,5780,5780,52020,Y,994,8.998443175921121,0.5055465852463852,1,1,Medium Risk
122,29,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,Parked Car,unknown,Trivial Damage,unknown,17,1,unknown,0,1,NO,350,350,3150,N,8474,8.974358974358974,0.07743542779399906,0,0,Low Risk
312,47,500/1000,1000,1212.07,0,FEMALE,MD,exec-managerial,wife,66900,-51800,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,NO,2,3,NO,7040,7040,42240,N,4649,5.999147848317,0.30450294932928385,1,0,Low Risk
65,23,250/500,1000,1099.95,0,FEMALE,College,sales,wife,0,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,14,1,NO,1,0,YES,6550,6550,39300,Y,5513,5.999084109296291,0.6304599491953927,1,1,Medium Risk
283,41,100/300,500,1195.01,0,FEMALE,Associate,sales,own-child,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,NO,0,2,unknown,0,6100,36600,Y,805,5.99901655466317,0.5484368229714635,1,1,Medium Risk
30,36,500/1000,500,1488.26,0,FEMALE,College,machine-op-inspct,wife,0,-63500,Multi-vehicle Collision,Side Collision,Total Loss,Police,17,3,NO,2,2,unknown,5790,5790,46320,N,5038,7.998618546019686,0.26728755678704336,1,0,Low Risk
32,26,100/300,2000,1260.32,6000000,MALE,JD,other-service,not-in-family,0,-79800,Single Vehicle Collision,Side Collision,Total Loss,Fire,16,1,unknown,1,2,unknown,9100,4550,31850,N,106,6.998461876510657,0.30063063999886847,1,0,Low Risk
266,42,500/1000,1000,763.67,0,MALE,Associate,prof-specialty,own-child,12800,-49700,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,1,3,YES,7870,7870,55090,N,6047,6.999110659382543,0.3435876741004634,1,0,Low Risk
15,34,100/300,1000,1829.63,0,MALE,JD,tech-support,not-in-family,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,YES,1,0,unknown,12300,6150,49200,N,6305,7.998699398471794,0.2901768395865046,1,0,Low Risk
12,24,500/1000,1000,1143.95,0,FEMALE,PhD,tech-support,other-relative,51400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,13,3,NO,2,1,unknown,5930,5930,41510,N,7383,6.9988197605800035,0.2776356909512307,1,0,Low Risk
108,33,100/300,2000,694.45,0,FEMALE,JD,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,unknown,0,1,YES,5850,11700,46800,Y,9124,3.9996581488761644,0.48661464062405885,1,1,Medium Risk
